Código,Sigla,Contacto,Denominación
208,,ww.uogc.org.ar,OBRA SOCIAL DEL  PERSONAL DE LA INDUSTRIA GRAFICA DE LA PROVINCIA DE CORDOBA
307,OSPA,portuariosargentinosmdp@yahoo.com.ar,OBRA SOCIAL PORTUARIOS ARGENTINOS DE MAR DEL PLATA
406,OSPOCE,www.ospoce.com.ar,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL EXTERNO
505,OSPESCA,www.capitanesdepesca.org.ar,"OBRA SOCIAL DE CAPITANES, PILOTOS Y PATRONES DE PESCA"
604,OSALARA,www.aleara.com.ar,OBRA SOCIAL DE AGENTES DE LOTERIAS Y AFINES DE LA REPUBLICA  ARGENTINA
703,,mutualaye@infovia.com.ar,MUTUAL DEL PERSONAL DEL AGUA Y LA ENERGIA  DE MENDOZA
901,OSSEG,www.osseg.org.ar,"OBRA SOCIAL DE LA ACTIVIDAD DE SEGUROS, REASEGUROS, CAPITALIZACION Y AHORRO Y PRESTAMO PARA LA VIVIENDA"
1201,OSME,www.osme.org.ar,OBRA SOCIAL PARA EL PERSONAL DEL MINISTERIO DE ECONOMIA Y DE OBRAS Y SERVICIOS PUBLICOS
1300,OSFE,www.osfe.org.ar,OBRA SOCIAL FERROVIARIA
1508,OSSACRA,0800-345-2627,OBRA SOCIAL DE LA ASOCIACION CIVIL PROSINDICATO DE AMAS DE CASA DE LA REPUBLICA ARGENTINA
1607,,sutiagarosario@arnetbiz.com.ar,OBRA SOCIAL DEL SINDICATO UNIDO DE TRABAJADORES DE LA INDUSTRIA DE AGUAS GASEOSAS DE LA PROVINCIA DE SANTA FE
1706,OSJERA,www.osjera.com.ar,OBRA SOCIAL DEL PERSONAL JERARQUICO DE LA REPUBLICA ARGENTINA PARA EL PERSONAL JERARQUICO DE LA INDUSTRIA GRAFICA Y EL PERSONAL JERARQUICO DEL AGUA Y LA ENERGIA
1805,OSLERA,www.clnoslera.com.ar,OBRA SOCIAL DE LOS  LEGISLADORES DE LA REPUBLICA ARGENTINA
1904,FEDECAMARAS,www.osfedecamaras.com.ar,OBRA SOCIAL DE LA FEDERACION DE CAMARAS Y CENTROS COMERCIALES ZONALES DE LA REPUBLICA ARGENTINA (FEDECAMARAS)
2105,OSPROTURA,interturf@ciudad.com.ar,OBRA SOCIAL PROFESIONALES DEL TURF DE LA REPUBLICA ARGENTINA
2204,,www.osejana.com.ar,OBRA SOCIAL DE EMPLEADOS Y PERSONAL JERARQUICO  DE LA ACTIVIDAD DEL  NEUMATICO ARGENTINO DE NEUMATICOS GOOD YEAR SRL
2303,,www.ospelsym.com.ar,"OBRA SOCIAL PARA EL  PERSONAL DE EMPRESAS DE  LIMPIEZA, SERVICIOS Y MAESTRANZA DE MENDOZA"
2402,,www.ospjtap.com.ar,OBRA SOCIAL DEL PERSONAL JERARQUICO DEL TRANSPORTE AUTOMOTOR DE PASAJEROS DE CORDOBA Y AFINES
2501,OSMISS,www.osmiss.org.ar,"OBRA SOCIAL DE MINISTROS, SECRETARIOS Y SUBSECRETARIOS"
